TICKER	DATE	OPEN	HIGH	LOW	CLOSE	WAPRICE
USD_RUR	2016-10-30	62.975	62.9903	62.975	62.9903	62.982
USD_RUR	2016-10-31	62.9903	63.458	62.9011	63.32	63.279
USD_RUR	2016-11-01	63.3269	63.4215	62.9	63.3163	63.203
USD_RUR	2016-11-02	63.2841	63.84595	63.065	63.49855	63.512
USD_RUR	2016-11-03	63.519	63.8374	63.30215	63.595	63.639
USD_RUR	2016-11-04	63.5831	64.6395	63.55	64.4568	64.041
USD_RUR	2016-11-06	64.2063	64.2063	64.2063	64.2063	64.206
USD_RUR	2016-11-07	64.2643	64.67	63.555	63.7322	63.804
USD_RUR	2016-11-08	63.7343	64.0198	63.465	63.80715	63.742
USD_RUR	2016-11-09	63.7919	64.8025	63.22	63.8616	63.842
USD_RUR	2016-11-10	63.86475	65.6294	63.2781	65.3406	64.258
USD_RUR	2016-11-11	65.5282	66.3175	64.4923	65.6956	65.698
USD_RUR	2016-11-13	65.908	65.9256	65.898	65.8984	65.904
USD_RUR	2016-11-14	65.752	66.495	65.35	66.0076	66.193
USD_RUR	2016-11-15	66.0048	66.4075	64.11	64.191	65.074
USD_RUR	2016-11-16	64.1765	65.575	64.005	64.6308	64.825
USD_RUR	2016-11-17	64.6308	65.09625	64.29345	64.8688	64.621
USD_RUR	2016-11-18	64.8821	65.32	64.47875	64.7225	64.854
USD_RUR	2016-11-19	64.7223	64.7223	64.7223	64.7223	64.722
USD_RUR	2016-11-21	64.875	64.875	63.87195	63.921	64.122
USD_RUR	2016-11-22	63.9255	64.1468	63.4682	63.7375	63.817
USD_RUR	2016-11-23	63.7621	64.9475	63.6604	64.417	64.37
USD_RUR	2016-11-24	64.4169	64.805	64.225	64.5146	64.443
USD_RUR	2016-11-25	64.5177	64.9819	64.305	64.9025	64.678
USD_RUR	2016-11-27	64.4946	64.4946	64.4946	64.4946	64.495
USD_RUR	2016-11-28	64.5308	65.25	64.2325	64.8262	64.891
USD_RUR	2016-11-29	64.8385	65.49725	64.675	65.2224	65.148
USD_RUR	2016-11-30	65.2232	65.39	63.975	64.1112	64.535
USD_RUR	2016-12-01	64.1112	64.325	63.50075	63.9778	63.876
USD_RUR	2016-12-02	63.973	64.35	63.7513	63.9273	64.038
USD_RUR	2016-12-05	63.8809	64.35	63.51	63.783	63.711
USD_RUR	2016-12-06	63.783	63.98875	63.655	63.8555	63.835
USD_RUR	2016-12-07	63.858	63.9876	63.1425	63.2104	63.698
USD_RUR	2016-12-08	63.2104	63.5365	63.19	63.3252	63.35
USD_RUR	2016-12-09	63.3252	63.519	62.21	62.4696	62.898
USD_RUR	2016-12-11	62.465	62.4688	62.465	62.465	62.467
USD_RUR	2016-12-12	62.4475	62.474	60.74595	61.0208	61.156
USD_RUR	2016-12-13	61.0208	61.3162	60.475	60.62	60.868
USD_RUR	2016-12-14	60.6075	62.3625	60.555	62.1783	61.151
USD_RUR	2016-12-15	62.1747	62.2025	61.3275	61.7642	61.748
USD_RUR	2016-12-16	61.7315	62.5104	61.445	62.0857	61.841
USD_RUR	2016-12-19	62.075	62.1255	61.6575	61.95245	61.843
USD_RUR	2016-12-20	61.899	62.0694	61.325	61.4669	61.596
USD_RUR	2016-12-21	61.4535	61.4803	60.87	61.1654	61.103
USD_RUR	2016-12-22	61.12	61.2752	60.68375	60.97205	60.911
USD_RUR	2016-12-23	60.975	61.3775	60.775	61.0907	61.075
USD_RUR	2016-12-26	61.05	61.2655	60.755	60.977	60.906
USD_RUR	2016-12-27	60.9525	61.181	60.5875	60.7533	60.754
USD_RUR	2016-12-28	60.7547	60.765	60.1201	60.38535	60.472
USD_RUR	2016-12-29	60.39	60.7975	60.1175	60.4066	60.416
USD_RUR	2016-12-30	60.40525	61.6515	60.3057	61.2675	61.098
USD_RUR	2017-01-02	61.27475	61.61855	61.2048	61.245	61.312
USD_RUR	2017-01-03	61.275	61.2925	60.3461	60.955	60.812
USD_RUR	2017-01-04	60.935	61.1988	60.2325	60.454	60.68
USD_RUR	2017-01-05	60.454	60.51	59.17	59.398	59.785
USD_RUR	2017-01-06	59.4159	59.76	59.1075	59.6285	59.453
USD_RUR	2017-01-07	59.6525	59.6525	59.6525	59.6525	59.653
USD_RUR	2017-01-09	59.625	60.1198	59.4143	60.0813	59.871
USD_RUR	2017-01-10	60.08075	60.2875	59.82	60.102	60.041
USD_RUR	2017-01-11	60.10155	60.69	59.4765	59.8126	60.121
USD_RUR	2017-01-12	59.81255	59.942	59.09	59.361	59.36
USD_RUR	2017-01-13	59.3577	59.86	59.2647	59.609	59.503
USD_RUR	2017-01-16	59.6755	59.9475	59.3665	59.8835	59.702
USD_RUR	2017-01-17	59.8825	59.98	58.96	59.43905	59.343
USD_RUR	2017-01-18	59.43905	59.589	59.0387	59.5095	59.3
USD_RUR	2017-01-19	59.5095	60.265	59.1895	59.8	59.715
USD_RUR	2017-01-20	59.7277	59.95	59.565	59.6656	59.772
USD_RUR	2017-01-22	59.745	59.75	59.745	59.745	59.747
USD_RUR	2017-01-23	59.76	59.804	59.305	59.52775	59.48
USD_RUR	2017-01-24	59.51775	59.5953	59.07515	59.2596	59.271
USD_RUR	2017-01-25	59.276	59.675	59.068	59.54595	59.289
USD_RUR	2017-01-26	59.52575	60.6188	59.3395	60.43	60.082
USD_RUR	2017-01-27	60.43465	60.5385	59.557	59.8495	60.027
USD_RUR	2017-01-28	59.8478	59.8478	59.8478	59.8478	59.848
USD_RUR	2017-01-29	59.8772	59.8772	59.833	59.833	59.856
USD_RUR	2017-01-30	59.827	60.285	59.663	59.8744	59.984
USD_RUR	2017-01-31	59.9172	60.2402	59.74315	60.1639	60.067
